ceramideId,ceramideName,Concentration,ISTD_CONC,TheoreticalRatio
1,"Cer 18:1;O2/16:0",2,0.125,16
1,"Cer 18:1;O2/16:0",1,0.125,8
1,"Cer 18:1;O2/16:0",0.1,0.125,0.8
1,"Cer 18:1;O2/16:0",0.02,0.125,0.16
1,"Cer 18:1;O2/16:0",0.01,0.125,0.08
1,"Cer 18:1;O2/16:0",0.008,0.125,0.064
2,"Cer 18:1;O2/18:0",2,0.05,40
2,"Cer 18:1;O2/18:0",1,0.05,20
2,"Cer 18:1;O2/18:0",0.1,0.05,2
2,"Cer 18:1;O2/18:0",0.02,0.05,0.4
2,"Cer 18:1;O2/18:0",0.01,0.05,0.2
2,"Cer 18:1;O2/18:0",0.008,0.05,0.16
3,"Cer 18:1;O2/24:0",20,1.5,13.33333333
3,"Cer 18:1;O2/24:0",10,1.5,6.666666667
3,"Cer 18:1;O2/24:0",1,1.5,0.666666667
3,"Cer 18:1;O2/24:0",0.2,1.5,0.133333333
3,"Cer 18:1;O2/24:0",0.1,1.5,0.066666667
3,"Cer 18:1;O2/24:0",0.08,1.5,0.053333333
4,"Cer 18:1;O2/24:1",20,0.5,40
4,"Cer 18:1;O2/24:1",10,0.5,20
4,"Cer 18:1;O2/24:1",1,0.5,2
4,"Cer 18:1;O2/24:1",0.2,0.5,0.4
4,"Cer 18:1;O2/24:1",0.1,0.5,0.2
4,"Cer 18:1;O2/24:1",0.08,0.5,0.16
