Lab_id,SampleType,SampleId,ceramideName,Unit,replicate,Protocol,Instrument,MassAnalyzerType,C_SinglePoint,Calibration Line 1,Calibration Line 2,Avg_C_Adj
02a,NIST SRM,SRM 1,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.18011257,0.138159595,0.130047535,0.134103565
02a,NIST SRM,SRM 1,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.026617647,0.0411096,0.040762879,0.04093624
02a,NIST SRM,SRM 1,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.285714286,1.357300418,1.291274684,1.324287551
02a,NIST SRM,SRM 1,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.449308756,0.505177803,0.475545929,0.490361866
02a,NIST SRM,SRM 2,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.169090909,0.129547485,0.121893802,0.125720643
02a,NIST SRM,SRM 2,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.027737973,0.042883154,0.042526346,0.04270475
02a,NIST SRM,SRM 2,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.263888889,1.333918639,1.269113234,1.301515936
02a,NIST SRM,SRM 2,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.443548387,0.498534655,0.469365992,0.483950323
02a,NIST SRM,SRM 3,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.167557932,0.128349647,0.120759719,0.124554683
02a,NIST SRM,SRM 3,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.027595067,0.042656923,0.042301402,0.042479163
02a,NIST SRM,SRM 3,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.256944444,1.326478982,1.262061863,1.294270422
02a,NIST SRM,SRM 3,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.436585366,0.490504547,0.461895804,0.476200176
02a,NIST SRM,SRM 4,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.165145985,0.126464999,0.118975381,0.12272019
02a,NIST SRM,SRM 4,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.027440904,0.042412873,0.04205874,0.042235807
02a,NIST SRM,SRM 4,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.280487805,1.351701233,1.285967729,1.318834481
02a,NIST SRM,SRM 4,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.439344262,0.493686246,0.46485565,0.479270948
02a,NIST SRM,SRM 5,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.175934579,0.134894995,0.126956692,0.130925843
02a,NIST SRM,SRM 5,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.028884026,0.044697434,0.044330309,0.044513872
02a,NIST SRM,SRM 5,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.270334928,1.340824349,1.275658525,1.308241437
02a,NIST SRM,SRM 5,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.443442623,0.498412683,0.469252524,0.483832603
02a,NIST SRM,SRM 6,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.174514563,0.133785422,0.125906176,0.129845799
02a,NIST SRM,SRM 6,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.028918919,0.044752672,0.044385232,0.044568952
02a,NIST SRM,SRM 6,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,1.32,1.394031067,1.326088308,1.360059687
02a,NIST SRM,SRM 6,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.45210084,0.508397776,0.478541381,0.493469579
02a,NIST hTAG,hTAG 1,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.215833333,0.166071099,0.156473455,0.161272277
02a,NIST hTAG,hTAG 1,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.034004739,0.052803875,0.052390647,0.052597261
02a,NIST hTAG,hTAG 1,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,2.056179775,2.182708268,2.073603305,2.128155786
02a,NIST hTAG,hTAG 1,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.629158513,0.71258963,0.668495424,0.690542527
02a,NIST hTAG,hTAG 2,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.211813187,0.162929835,0.153499385,0.15821461
02a,NIST hTAG,hTAG 2,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.033125778,0.051412419,0.051007105,0.051209762
02a,NIST hTAG,hTAG 2,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,2.091428571,2.220470677,2.109394839,2.164932758
02a,NIST hTAG,hTAG 2,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.633673469,0.717796506,0.673339237,0.695567871
02a,NIST hTAG,hTAG 3,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.21489726,0.165339669,0.155780956,0.160560313
02a,NIST hTAG,hTAG 3,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.032876712,0.051018131,0.050615058,0.050816594
02a,NIST hTAG,hTAG 3,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,2.040697674,2.166122129,2.05788282,2.112002475
02a,NIST hTAG,hTAG 3,Cer d18:1/24:1,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.638716356,0.723612218,0.678749433,0.701180825
02a,NIST hTAG,hTAG 4,Cer d18:1/16:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.209276018,0.160947341,0.151622409,0.156284875
02a,NIST hTAG,hTAG 4,Cer d18:1/18:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,0.032571802,0.050535436,0.050135109,0.050335272
02a,NIST hTAG,hTAG 4,Cer d18:1/24:0,µmol/L,1,Standard,QTRAP 6500+,QQQ,2.002890173,2.125618553,2.019493184,2.072555868
