SampleType,ceramideName,Sample,LabId,LabNo,LabNum,MethodNo,Protocol,MassAnalyzerResolution,MassAnalyzerType,RatioLipidToIS_mean,RatioLipidToIS_SD,RatioLipidToIS_RepCV,C_SinglePoint_mean,C_SinglePoint_SD,C_SinglePoint_RepCV,C_Adj_mean,C_Adj_C16_mean,C_Adj_C24_mean,C_Adj_SD,C_Adj_RepCV,C_SinglePoint_interlabMEAN,C_Adj_interlabMEAN,lab_mean_conc
SRM,Cer 18:1;O2/16:0,SRM 1,02b,02,1,b,SOP,LowRes,QQQ,1.5058519536276718,0.02245636883133626,1.491273347106783,0.37646298840691794,0.005614092207834065,1.491273347106783,0.2475167863419324,0.2706955120558099,0.1501354919373713,0.004055915396884766,1.4983312305704384,0.3445775115471851,0.2438313501584896,0.2706955120558099
SRM,Cer 18:1;O2/16:0,SRM 1,03,03,2,a,OTHER,LowRes,QQQ,1.4732775273663876,0,NA,0.3683193818415969,0,NA,0.24811481241201588,0.22462051655275567,0.25039317550438667,0,NA,0.3445775115471851,0.2438313501584896,0.22462051655275567
SRM,Cer 18:1;O2/16:0,SRM 1,04,04,3,a,SOP,LowRes,QQQ,1.2245131612442992,0.03364788335375769,2.7478580401345885,0.3061282903110748,0.008411970838439423,2.7478580401345885,0.22813737014247248,0.24826315807984112,0.24934481463791666,0.006832347704538518,2.7520586451015996,0.3445775115471851,0.2438313501584896,0.24826315807984112
SRM,Cer 18:1;O2/16:0,SRM 1,05,05,4,a,OTHER,LowRes,QQQ,1.4020811712165582,0.007512173939258775,0.5357873776124252,0.35052029280413954,0.0018780434848146938,0.5357873776124252,0.23064777878901263,0.24244273058342367,0.17184931192554442,0.0013659001314491898,0.563390837977379,0.3445775115471851,0.2438313501584896,0.24244273058342367
SRM,Cer 18:1;O2/16:0,SRM 1,07,07,5,a,OTHER,HighRes,Orbitrap,1.9797704444594746,0.19001865145453356,9.598014354962919,0.49494261111486865,0.04750466286363339,9.598014354962919,0.26208997715702703,0.3574537748411658,0.3543832213377247,0.0352388032866448,9.858282599562173,0.3445775115471851,0.2438313501584896,0.3574537748411658
SRM,Cer 18:1;O2/16:0,SRM 1,09,09,6,a,OTHER,LowRes,QQQ,1.2479301846819126,0.09651197387775462,7.733763880577562,0.31198254617047816,0.024127993469438655,7.733763880577562,0.24212767550031059,0.24204006375302176,0.2623188400162833,0.019166391375310277,7.918685476329947,0.3445775115471851,0.2438313501584896,0.24204006375302176
SRM,Cer 18:1;O2/16:0,SRM 1,10a,10,7,a,SOP,LowRes,QQQ,1.446767537826685,0,NA,0.3616918844566713,0,NA,0.2439461149353716,0.17753686255796233,0.1703022166872482,0,NA,0.3445775115471851,0.2438313501584896,0.17753686255796233
SRM,Cer 18:1;O2/16:0,SRM 1,10b,10,7,b,OTHER,LowRes,QQQ,1.2189041020413784,0,NA,0.3047260255103446,0,NA,0.2174476574088712,0.17002453402075243,0.15187066596686744,0,NA,0.3445775115471851,0.2438313501584896,0.17002453402075243
SRM,Cer 18:1;O2/16:0,SRM 1,12,12,8,a,SOP,LowRes,QQQ,1.0204173552970186,0.017834325895742464,1.7477481937330759,0.25510433882425465,0.004458581473935643,1.747748193733086,0.25051419026017036,0.2635060228129093,0.47205767308365226,0.004603709243499813,1.7470982994451218,0.3445775115471851,0.2438313501584896,0.2635060228129093
SRM,Cer 18:1;O2/16:0,SRM 1,13,13,9,a,OTHER,LowRes,QQQ,0.894609372697759,0,NA,0.22365234317443977,0,NA,0.2340016358091497,0.1953701083023806,0.12285612149313352,0,NA,0.3445775115471851,0.2438313501584896,0.1953701083023806
