Matrix,Ceramide,N (All),"μmol/L (All)
(mean)","μmol/L (All)
(SD)","μmol/L (All)
(median)",%CV (All),%RCV (All),N (Filt),"μmol/L (Filt)
(mean)","μmol/L (Filt)
(SD)","μmol/L (Filt)
(median)",%CV (Filt),%RCV (Filt)
SRM,Cer 18:1;O2/16:0,39,0.2500015504183957,0.061191059173718844,0.24807004978953112,24.47627187563884,11.914665756598856,35,0.2438313501584896,0.033583445122504364,0.24684474927627825,13.773226904856669,11.237867856226712
SRM,Cer 18:1;O2/18:0,39,0.08788154589885051,0.026891722299026297,0.08573856486759511,30.599965014245427,11.086923525589128,31,0.08347175412107849,0.009708173107131492,0.08439855430352991,11.630488911314204,8.860849998156372
SRM,Cer 18:1;O2/24:0,39,2.488773443402841,0.6265976371490386,2.443894342051996,25.176965738283773,11.958934902161968,35,2.4115767520891636,0.24406767688020398,2.4368296603270214,10.120668009789307,7.491225954675469
SRM,Cer 18:1;O2/24:1,39,0.9038966335639844,0.24219950468851928,0.873889058320375,26.795044443693534,8.602916647596146,31,0.8554107235506436,0.07238107633992398,0.8562995243605397,8.461558213753062,7.441256783764459
hTAG,Cer 18:1;O2/16:0,39,0.29137774087262697,0.06674952806951219,0.2902270384390738,22.90824545128556,13.205635185110282,35,0.28881437352233186,0.03689946017024528,0.2902270384390738,12.776185520209962,11.582412900018793
hTAG,Cer 18:1;O2/18:0,39,0.100420797899625,0.027401539949903037,0.09935406863544768,27.286718013625105,11.211523204458366,31,0.0995468697644595,0.01098940870058314,0.09935406863544768,11.039431703463375,9.868315987729929
hTAG,Cer 18:1;O2/24:0,39,3.818993618052202,0.8532952142243078,3.8072647238556665,22.343457454100516,11.58897348915045,36,3.764137972858822,0.4587058791191448,3.779018426161908,12.186213216057078,10.690822760777952
hTAG,Cer 18:1;O2/24:1,39,1.318599872298002,0.33073535013782196,1.270114302380823,25.082313223755282,11.60633793000615,33,1.278357175986386,0.1533712949257275,1.2605642251371711,11.997530721989772,10.46518640383992
DB,Cer 18:1;O2/16:0,39,0.22418033098911072,0.05939729324886494,0.2218976356522303,26.495318740407285,14.100712381167138,35,0.21606123922577267,0.030910505078260257,0.2155067415402352,14.306362950163587,12.820746716942214
DB,Cer 18:1;O2/18:0,39,0.0992847356589271,0.02856672644417655,0.09787828483899565,28.772526063132037,11.154116483501157,32,0.09655121465500752,0.011369954464656488,0.0974817876934504,11.776086406870283,10.146031848467421
DB,Cer 18:1;O2/24:0,39,2.4525127090149796,0.6096152866272772,2.4427886660334295,24.85676361172136,11.267277433129804,36,2.4012645742526755,0.28471318410007285,2.428917736526701,11.856801918159379,9.659093370570213
DB,Cer 18:1;O2/24:1,39,0.8918819871325357,0.23576108953111025,0.8757089465832913,26.43411268895552,12.165142042714063,33,0.866302164374892,0.09960869815406961,0.8662642189929819,11.49814721124995,7.782184229917031
YAA,Cer 18:1;O2/16:0,39,0.1538837322244053,0.045100864736953065,0.1541154225912136,29.308403224314482,15.074569236357426,34,0.14501927677238236,0.022659591125850323,0.15041865801293036,15.625226956148799,13.595867273739978
YAA,Cer 18:1;O2/18:0,39,0.05142743431956883,0.01829069291340036,0.04939370962003574,35.56602260136572,17.886976153341216,34,0.049364734645125266,0.009171726251020104,0.049366889889174585,18.579510893665475,15.62422761772288
YAA,Cer 18:1;O2/24:0,39,1.7502617168247834,0.579995657596022,1.647528545699675,33.13765318755953,12.196189029588425,35,1.6484938723177585,0.22167052467448062,1.6364324156610883,13.44685160174815,9.050797331916577
YAA,Cer 18:1;O2/24:1,39,0.584228767504085,0.2005656691734196,0.5519592536513415,34.32998858140227,16.37577531047985,33,0.551849850139048,0.07747615449459613,0.5432323031974376,14.039354087905378,10.13449264752739
