"SampleType","ceramideName","n
(LowRes)","n
(HighRes)","μmol/L
(LowRes)","μmol/L
(HighRes)","%CV
(LowRes)","%CV
(HighRes)","P value"
"SRM","Cer 18:1;O2/16:0",31,4,0.2397575346700009,0.2754034201942771,13.120728798972706,100,0.3677867462540952
"SRM","Cer 18:1;O2/18:0",28,3,0.08373954543502175,0.08097236852427474,12.137391248042766,100,0.24692650705836366
"SRM","Cer 18:1;O2/24:0",29,6,2.4166558088627106,2.3870279776836867,11.076267550458043,100,0.04616911139677238
"SRM","Cer 18:1;O2/24:1",27,4,0.8506727059966587,0.887392342040042,8.948024784965737,100,0.6316204693228606
"hTAG","Cer 18:1;O2/16:0",30,5,0.28776828881251443,0.29509088178123616,12.449776288128932,100,0.3755083925191796
"hTAG","Cer 18:1;O2/18:0",27,4,0.10019680020178838,0.09515983931248957,11.31584337058504,100,0.7656354048979912
"hTAG","Cer 18:1;O2/24:0",30,6,3.7956948381519098,3.60635364639338,12.54937519896821,100,0.19314540009177736
"hTAG","Cer 18:1;O2/24:1",27,6,1.2676119508334664,1.3267106891745244,10.68024537672938,100,0.2767114966131289
"DB","Cer 18:1;O2/16:0",31,4,0.21431416614091223,0.229601055633441,14.666423475633316,100,0.4604103495735065
"DB","Cer 18:1;O2/18:0",28,4,0.0959375413403919,0.10084692785731689,11.441049669194586,100,0.4436586951720528
"DB","Cer 18:1;O2/24:0",30,6,2.407374100046066,2.3707169452857224,12.789056070157542,100,0.02487413339657633
"DB","Cer 18:1;O2/24:1",28,5,0.8595961399255811,0.9038559012910329,12.118893145868828,100,0.31296102213483096
"YAA","Cer 18:1;O2/16:0",30,4,0.14373211594459562,0.15467298298078294,16.34548531192056,100,0.4653771432140904
"YAA","Cer 18:1;O2/18:0",29,5,0.048631925873842075,0.05361502551856779,18.141636202511453,100,0.4402026992938299
"YAA","Cer 18:1;O2/24:0",29,6,1.666629589636197,1.5608379052786396,14.146238484771379,100,0.18020501119823798
"YAA","Cer 18:1;O2/24:1",28,5,0.5467126273273364,0.5806182978846326,14.55018503291191,100,0.35843018071215366
