"Matrix","Ceramide","n
(SOP)","n
(OTHER)","μmol/L
(SOP)","μmol/L
(OTHER)","P value","%CV
(SOP)","%CV
(OTHER)"
"SRM","Cer 18:1;O2/16:0",21,12,0.3473997111568399,0.3563816954615696,0.6546050945109905,9.235191322372303,9.372669838602745
"SRM","Cer 18:1;O2/18:0",22,11,0.05583951745034097,0.054076858264427825,0.4528866846845161,8.803693571149934,11.839159423474534
"SRM","Cer 18:1;O2/24:0",20,15,2.580961744973977,2.548476663801914,0.37823945226049627,8.691896132387592,14.624243798165004
"SRM","Cer 18:1;O2/24:1",21,11,0.8558535143636842,0.8089911702896054,0.10767384958478458,11.092677412289719,21.06209895035326
"hTAG","Cer 18:1;O2/16:0",22,13,0.4046515931411562,0.3973561679597277,0.24809534396341917,13.306598336983875,11.877184192882277
"hTAG","Cer 18:1;O2/18:0",22,12,0.0657483134842745,0.06433004149567101,0.5679841579819496,11.715413006161244,16.886724156617625
"hTAG","Cer 18:1;O2/24:0",20,15,3.9959824325072475,3.830298040407605,0.14538518946455892,10.098920390030862,17.28968714402349
"hTAG","Cer 18:1;O2/24:1",21,13,1.2649474234215599,1.1492925652646793,0.23721465713046286,10.640488568272733,28.88783112729747
"DB","Cer 18:1;O2/16:0",22,11,0.3077945865915396,0.3109391464634054,0.22539194859015166,12.22028535424129,9.483265535886504
"DB","Cer 18:1;O2/18:0",22,13,0.06370631827307925,0.062145178030487455,0.5700301984251194,9.899136086665317,18.149984088699927
"DB","Cer 18:1;O2/24:0",20,15,2.5345974545569327,2.512707238796971,0.40650430428449746,9.560439582973531,14.392092459990655
"DB","Cer 18:1;O2/24:1",21,14,0.8522307385370645,0.8462285039191187,0.799320087608592,14.145730951977065,29.983998858740968
"YAA","Cer 18:1;O2/16:0",21,13,0.21317806426843364,0.21190614479926193,0.4594255661192206,12.39003733754697,14.592694553928895
"YAA","Cer 18:1;O2/18:0",22,11,0.033241668026368125,0.032698211641382355,0.6975772138485732,11.108987519957688,15.939362326990697
"YAA","Cer 18:1;O2/24:0",20,14,1.7692748575756152,1.6769225351802268,0.23369235439033292,8.724523613163008,12.93899807603366
"YAA","Cer 18:1;O2/24:1",21,12,0.5443251086731333,0.5139986948357163,0.6727549899131191,11.371148915089815,30.028728570203107
