ceramideName,LabId,Sample,area_l,area_h
Cer 18:1;O2/16:0,02b,STD 1,9983333.333333334,473666.6666666667
Cer 18:1;O2/16:0,02b,STD 2,4528333.333333333,415666.6666666667
Cer 18:1;O2/16:0,02b,STD 3,486500,419666.6666666667
Cer 18:1;O2/16:0,02b,STD 4,107466.66666666667,455666.6666666667
Cer 18:1;O2/16:0,02b,STD 5,51100,417333.3333333333
Cer 18:1;O2/16:0,02b,STD 6,45450,444833.3333333333
Cer 18:1;O2/16:0,03,STD 1,176216666.66666666,7064833.333333333
Cer 18:1;O2/16:0,03,STD 2,87553333.33333333,7620000
Cer 18:1;O2/16:0,03,STD 3,7633500,7021166.666666667
Cer 18:1;O2/16:0,03,STD 4,3168333.3333333335,7377666.666666667
Cer 18:1;O2/16:0,03,STD 5,1063129.8333333333,6700833.333333333
Cer 18:1;O2/16:0,03,STD 6,1038558.1666666666,8085500
Cer 18:1;O2/16:0,04,STD 1,12781666.666666666,619466.6666666666
Cer 18:1;O2/16:0,04,STD 2,6368833.333333333,636416.6666666666
Cer 18:1;O2/16:0,04,STD 3,619333.3333333334,670450
Cer 18:1;O2/16:0,04,STD 4,125950,620833.3333333334
Cer 18:1;O2/16:0,04,STD 5,62700,647966.6666666666
Cer 18:1;O2/16:0,04,STD 6,55381.666666666664,642666.6666666666
Cer 18:1;O2/16:0,05,STD 1,10336243.833333334,462801.5
Cer 18:1;O2/16:0,05,STD 2,5144575.5,476932.3333333333
Cer 18:1;O2/16:0,05,STD 3,625982,481741.1666666667
Cer 18:1;O2/16:0,05,STD 4,166954.83333333334,479442.1666666667
Cer 18:1;O2/16:0,05,STD 5,120950.66666666667,482553.5
Cer 18:1;O2/16:0,05,STD 6,113822.16666666667,508249.3333333333
Cer 18:1;O2/16:0,07,STD 1,23824750.683120083,1064097.5298442647
Cer 18:1;O2/16:0,07,STD 2,13360790.55888275,1174273.2527065217
Cer 18:1;O2/16:0,07,STD 3,986035.1091010175,792556.5851780039
Cer 18:1;O2/16:0,07,STD 4,317043.2266096037,1120771.0032883068
Cer 18:1;O2/16:0,07,STD 5,224222.804778098,1140257.7724496732
Cer 18:1;O2/16:0,07,STD 6,213715.55291025867,1029941.407920602
Cer 18:1;O2/16:0,09,STD 1,52379.754166666666,2922.391666666667
Cer 18:1;O2/16:0,09,STD 2,24249.5125,2502.0916666666667
Cer 18:1;O2/16:0,09,STD 3,2695.2749999999996,2678.1583333333333
Cer 18:1;O2/16:0,09,STD 4,686.9541666666667,2437.8958333333335
Cer 18:1;O2/16:0,09,STD 5,361.525,2121.4416666666666
Cer 18:1;O2/16:0,09,STD 6,278.7583333333333,2271.825
Cer 18:1;O2/16:0,10a,STD 1,115485.5,4336.166666666667
Cer 18:1;O2/16:0,10a,STD 2,73965.66666666667,4861.166666666667
Cer 18:1;O2/16:0,10a,STD 3,8599.166666666666,4507.666666666667
Cer 18:1;O2/16:0,10a,STD 4,3286.8333333333335,4802
Cer 18:1;O2/16:0,10a,STD 5,2709.6666666666665,4338.666666666667
