Sample,ceramideId,replicate,SampleType,LabId,ceramideName,Protocol,Vendor,Instrument,MassAnalyzerType,Unit,Concentration,ISConcentration,TheorRatioAnalyteIS,RatioLipidToIS,PAR,area_l,area_h,RatioLipidToIS_C16,RatioLipidToIS_C18,RatioLipidToIS_C24,RatioLipidToIS_C241
SRM 1,1,1,NIST SRM,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.125,16,1.529585798816568,0.6537717601547389,517000,338000,1.529585798816568,0.7240896358543417,0.027068062827225133,0.094
SRM 1,1,2,NIST SRM,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.125,16,1.503030303030303,0.6653225806451614,496000,330000,1.503030303030303,0.6956521739130435,0.027252747252747254,0.09001814882032667
SRM 1,1,3,NIST SRM,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.125,16,1.4849397590361446,0.6734279918864097,493000,332000,1.4849397590361446,0.7228739002932552,0.02650537634408602,0.088351254480286745
SRM 1,2,1,NIST SRM,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.05,40,0.5952380952380952,1.68,425000,714000,1.257396449704142,0.5952380952380952,0.02225130890052356,0.07727272727272727
SRM 1,2,2,NIST SRM,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.05,40,0.5904628330995793,1.693586698337292,421000,713000,1.2757575757575759,0.5904628330995793,0.02313186813186813,0.0764065335753176
SRM 1,2,3,NIST SRM,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.05,40,0.5909090909090909,1.6923076923076923,403000,682000,1.213855421686747,0.5909090909090909,0.021666666666666667,0.07222222222222222
SRM 1,3,1,NIST SRM,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,20,1.5,13.333333333333334,0.837696335078534,1.19375,16000000,19100000,47.337278106508876,22.408963585434172,0.837696335078534,2.909090909090909
SRM 1,3,2,NIST SRM,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,20,1.5,13.333333333333334,0.8791208791208791,1.1375,16000000,18200000,48.484848484848484,22.44039270687237,0.8791208791208791,2.9038112522686026
SRM 1,3,3,NIST SRM,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,20,1.5,13.333333333333334,0.8494623655913979,1.1772151898734178,15800000,18600000,47.59036144578313,23.167155425219942,0.8494623655913979,2.8315412186379927
SRM 1,4,1,NIST SRM,02b,Cer 18:1;O2/24:1,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,20,0.5,40,0.9127272727272727,1.095617529880478,5020000,5500000,14.85207100591716,7.030812324929972,0.2628272251308901,0.9127272727272727
SRM 1,4,2,NIST SRM,02b,Cer 18:1;O2/24:1,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,20,0.5,40,0.8856624319419237,1.1290983606557377,4880000,5510000,14.787878787878787,6.844319775596073,0.2681318681318681,0.8856624319419237
SRM 1,4,3,NIST SRM,02b,Cer 18:1;O2/24:1,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,20,0.5,40,0.8727598566308243,1.1457905544147844,4870000,5580000,14.668674698795181,7.140762463343108,0.2618279569892473,0.8727598566308243
SRM 2,1,1,NIST SRM,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.125,16,1.3607038123167154,0.7349137931034483,464000,341000,1.3607038123167154,0.6609686609686609,0.026514285714285716,0.08640595903165736
SRM 2,1,2,NIST SRM,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.125,16,1.4444444444444444,0.6923076923076923,507000,351000,1.4444444444444444,0.7090909090909091,0.027857142857142858,0.09406307977736549
SRM 2,1,3,NIST SRM,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.125,16,1.4809384164222874,0.6752475247524753,505000,341000,1.4809384164222874,0.6984785615491009,0.028857142857142856,0.0947467166979362
SRM 2,2,1,NIST SRM,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.05,40,0.584045584045584,1.7121951219512195,410000,702000,1.2023460410557185,0.584045584045584,0.023428571428571427,0.07635009310986965
SRM 2,2,2,NIST SRM,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.05,40,0.558041958041958,1.791979949874687,399000,715000,1.1367521367521367,0.558041958041958,0.021923076923076924,0.07402597402597402
SRM 2,2,3,NIST SRM,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.05,40,0.5297372060857538,1.887728459530026,383000,723000,1.1231671554252198,0.5297372060857538,0.021885714285714286,0.07185741088180113
SRM 2,3,1,NIST SRM,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,20,1.5,13.333333333333334,0.8571428571428571,1.1666666666666667,15000000,17500000,43.988269794721404,21.367521367521366,0.8571428571428571,2.793296089385475
SRM 2,3,2,NIST SRM,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,20,1.5,13.333333333333334,0.8406593406593407,1.1895424836601307,15300000,18200000,43.58974358974359,21.3986013986014,0.8406593406593407,2.8385899814471243
SRM 2,3,3,NIST SRM,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,20,1.5,13.333333333333334,0.8514285714285714,1.174496644295302,14900000,17500000,43.6950146627566,20.608575380359614,0.8514285714285714,2.795497185741088
