Sample,ceramideId,isotope,replicate,area,SampleType,LabId,ceramideName,Protocol,Vendor,Instrument,MassAnalyzerType
STD 1,1,l,1,10600000,Calibration Line 1,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,1,l,2,12700000,Calibration Line 1,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,1,l,3,11400000,Calibration Line 1,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,2,l,1,21500000,Calibration Line 1,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,2,l,2,18800000,Calibration Line 1,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,2,l,3,18200000,Calibration Line 1,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,3,l,1,209000000,Calibration Line 1,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,3,l,2,193000000,Calibration Line 1,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,3,l,3,197000000,Calibration Line 1,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,4,l,1,190000000,Calibration Line 1,02b,Cer 18:1;O2/24:1,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,4,l,2,175000000,Calibration Line 1,02b,Cer 18:1;O2/24:1,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,4,l,3,174000000,Calibration Line 1,02b,Cer 18:1;O2/24:1,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,1,h,1,507000,Calibration Line 1,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,1,h,2,624000,Calibration Line 1,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,1,h,3,580000,Calibration Line 1,02b,Cer 18:1;O2/16:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,2,h,1,890000,Calibration Line 1,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,2,h,2,754000,Calibration Line 1,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,2,h,3,686000,Calibration Line 1,02b,Cer 18:1;O2/18:0,Standard,Sciex,QTRAP 6500+,QQQ
STD 1,3,h,1,18700000,Calibration Line 1,02b,Cer 18:1;O2/24:0,Standard,Sciex,QTRAP 6500+,QQQ
