LabId,SampleType,ceramideId,ceramideName,Sample,replicate,Protocol,Vendor,Instrument,MassAnalyzerType,Unit,Concentration,ISConcentration,TheorRatioAnalyteIS,RatioLipidToIS,PAR,RatioIsConcToStdConc,area_l,area_h,sdev_area_ratio,RatioLipidToIS_C16,RatioLipidToIS_C18,RatioLipidToIS_C24,RatioLipidToIS_C241,CalibrationLine,CalibrationLine_C16,CalibrationLine_C18,CalibrationLine_C24,CalibrationLine_C241,Intercept,SlopeX,Intercept_SE,SlopeX_SE,sigma,ReagentBlank,C_Adj,C_LoD_C,C_LoQ_C,C_SinglePoint,C_Adj_Rec,C_Adj_Rec_Perc,C_SinglePoint_Rec,C_SinglePoint_Rec_Perc,C_Adj_C16,C_Adj_C18,C_Adj_C24,C_Adj_C241
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 1,1,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.125,16,20.907297830374752,0.04783018867924529,0.0625,10600000,507000,0.6274156962210584,20.907297830374752,11.910112359550562,0.5668449197860963,1.726384364820847,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,2.0100622037292335,9.276323457501246e-4,0.0028110071083337113,2.613412228796844,1.0050311018646167,100.50311018646167,1.306706114398422,130.6706114398422,2.0100622037292335,1.6466874344641635,1.9423137971990654,1.9107028523961223
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 1,2,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.125,16,20.352564102564102,0.04913385826771654,0.0625,12700000,624000,0.6274156962210584,20.352564102564102,16.843501326259947,0.7470588235294118,2.267857142857143,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,1.9566838164608842,9.276323457501246e-4,0.0028110071083337113,2.5440705128205128,0.9783419082304421,97.83419082304421,1.2720352564102564,127.20352564102564,1.9566838164608842,2.3294436711054782,2.560051679308616,2.5102598462780477
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 1,3,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,2,0.125,16,19.655172413793103,0.05087719298245614,0.0625,11400000,580000,0.6274156962210584,19.655172413793103,16.61807580174927,0.6627906976744186,2.122905027932961,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,1.8895783895241376,9.276323457501246e-4,0.0028110071083337113,2.456896551724138,0.9447891947620688,94.47891947620688,1.228448275862069,122.84482758620689,1.8895783895241376,2.298245911553901,2.2711970875499854,2.349758602621909
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 2,1,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,1,0.125,8,10.239520958083832,0.0976608187134503,0.125,5130000,501000,0.2332325437903616,10.239520958083832,6.688396349413298,0.2714285714285714,0.8040752351097179,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,0.9835720218020712,9.276323457501246e-4,0.0028110071083337113,1.279940119760479,0.9835720218020712,98.35720218020711,1.279940119760479,127.9940119760479,0.9835720218020712,0.9240281842106784,0.9296845517062153,0.8894568882963492
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 2,2,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,1,0.125,8,10.272373540856032,0.09734848484848484,0.125,5280000,514000,0.2332325437903616,10.272373540856032,7.068273092369478,0.275,0.8585365853658536,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,0.9867332103111978,9.276323457501246e-4,0.0028110071083337113,1.284046692607004,0.9867332103111978,98.67332103111977,1.284046692607004,128.4046692607004,0.9867332103111978,0.9766012160876518,0.9419267076996963,0.9497603509389911
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 2,3,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,1,0.125,8,10.65891472868217,0.09381818181818183,0.125,5500000,516000,0.2332325437903616,10.65891472868217,7.352941176470588,0.2925531914893617,0.927487352445194,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,1.023927532892561,9.276323457501246e-4,0.0028110071083337113,1.3323643410852712,1.023927532892561,102.3927532892561,1.3323643410852712,133.23643410852713,1.023927532892561,1.0159978481197711,1.0020956020506344,1.026107521679255
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 3,1,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,0.1,0.125,0.8,1.139676113360324,0.8774422735346359,1.25,563000,494000,0.048215034592873546,1.139676113360324,0.727390180878553,0.026186046511627908,0.08328402366863906,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,0.10795365238981208,9.276323457501246e-4,0.0028110071083337113,0.1424595141700405,1.0795365238981207,107.95365238981208,1.4245951417004048,142.45951417004048,0.10795365238981208,0.0990548918779,0.08904132275107596,0.09134582994291073
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 3,2,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,0.1,0.125,0.8,1.054307116104869,0.9484902309058615,1.25,563000,534000,0.048215034592873546,1.054307116104869,0.7153748411689962,0.027598039215686276,0.0834074074074074,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,0.0997391538515733,9.276323457501246e-4,0.0028110071083337113,0.13178838951310862,0.9973915385157329,99.73915385157329,1.317883895131086,131.7883895131086,0.0997391538515733,0.0973920292539671,0.09388135653560302,0.09148244915353501
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 3,3,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,0.1,0.125,0.8,1.1358267716535433,0.8804159445407279,1.25,577000,508000,0.048215034592873546,1.1358267716535433,0.7123456790123457,0.02885,0.08742424242424242,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,0.10758325549117087,9.276323457501246e-4,0.0028110071083337113,0.1419783464566929,1.0758325549117087,107.58325549117087,1.419783464566929,141.9783464566929,0.10758325549117087,0.09697280843675461,0.09817283231700404,0.09593017325953213
02b,Calibration Line 1,1,Cer 18:1;O2/16:0,STD 4,1,Standard,Sciex,QTRAP 6500+,QQQ,µmol/L,0.02,0.125,0.16,0.2252836304700162,4.438848920863309,6.25,139000,617000,0.011004106021338028,0.2252836304700162,0.18051948051948052,0.006587677725118484,0.020562130177514792,,,,,,0.017770130702725016,10.392478233218876,0.0029213330186781627,0.20036969360332885,0.6102553848951203,0,0.019967662679724253,9.276323457501246e-4,0.0028110071083337113,0.028160453808752026,0.9983831339862126,99.83831339862125,1.4080226904376012,140.80226904376013,0.019967662679724253,0.023370735646527908,0.021861962138455523,0.021895709018087385
