LabId,SampleType,Sample,ceramideId,ceramideName,Unit,Protocol,Instrument,MassAnalyzerType,replicate,C_SinglePoint,Calibration Line 1,Calibration Line 2,Avg_C_Adj
02b,Lowest Level QC,LLQC 1,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,1,0.15285326086956522,0.11595462883933828,0.10234154636816666,0.10914808760375247
02b,Lowest Level QC,LLQC 1,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,2,0.15884718498659517,0.12056867679403749,0.10638815029235774,0.11347841354319761
02b,Lowest Level QC,LLQC 1,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,3,0.15421195652173914,0.11700053578987174,0.1032588257748657,0.11012968078236872
02b,Lowest Level QC,LLQC 1,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,1,0.02457831325301205,0.03724126483135048,0.03753530232405412,0.0373882835777023
02b,Lowest Level QC,LLQC 1,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,2,0.02682926829268293,0.04071704029110845,0.041028559315065626,0.04087279980308704
02b,Lowest Level QC,LLQC 1,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,3,0.02547169811320755,0.03862077047160566,0.03892174623498984,0.038771258353297755
02b,Lowest Level QC,LLQC 1,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,1,1.161467889908257,1.219068619349392,1.1644788333177685,1.1917737263335804
02b,Lowest Level QC,LLQC 1,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,2,1.2000000000000002,1.2602867854737947,1.2036787193764167,1.2319827524251057
02b,Lowest Level QC,LLQC 1,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,3,1.1971698113207547,1.2572593056169485,1.2007994824624055,1.229029394039677
02b,Lowest Level QC,LLQC 1,4,Cer 18:1;O2/24:1,µmol/L,Standard,QTRAP 6500+,QQQ,1,0.3628571428571429,0.4017482087276668,0.37933124474865415,0.3905397267381605
