LabId,SampleType,ceramideId,ceramideName,Unit,Protocol,Instrument,MassAnalyzerType,AvgAvg_C_Adj,SdAvg_C_Adj,CV_C_Adj,Avg_C_SinglePoint,SdAvg_C_SinglePoint,CV_C_SinglePoint
02b,Lowest Level QC,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.11077221054865069,0.01816252262541771,0.16396280741766733,0.1551013294502168,0.02514008966367607,0.16208816360755526
02b,Lowest Level QC,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.03934545370105812,0.006053611813144749,0.1538579745232916,0.02584262131407571,0.003910559497396166,0.151322091124951
02b,Lowest Level QC,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,1.2759591532491366,0.2235666756108121,0.17521460231819797,1.2421423665953282,0.2142428353741314,0.172478486472822
02b,Lowest Level QC,4,Cer 18:1;O2/24:1,µmol/L,Standard,QTRAP 6500+,QQQ,0.3901604090062946,0.06612130470202117,0.16947210218080946,0.36251277307416246,0.06002930376761002,0.16559224453955804
02b,Low QC,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.15403183028509806,0.010373853735884822,0.06734876626917839,0.2149801657451726,0.014359217519323396,0.06679322006079454
02b,Low QC,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.05330522150484113,0.0035736949390417685,0.06704211779172907,0.03486046128326429,0.002308563402483276,0.06622297346339374
02b,Low QC,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,1.6533240096843471,0.09615565959030808,0.05815899305101493,1.603769235145149,0.09214549123483547,0.05745557977765788
02b,Low QC,4,Cer 18:1;O2/24:1,µmol/L,Standard,QTRAP 6500+,QQQ,0.558249268727163,0.030543423567784087,0.054712876986699265,0.5151149829913354,0.027729344720526114,0.05383136898775189
02b,Middle QC,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.2557149766227618,0.01113838144962134,0.04355779859563331,0.3557273223453296,0.01541745682176496,0.04334065969438846
02b,Middle QC,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.08895499183269036,0.005650747937887342,0.0635236744050909,0.05788977869553183,0.003650314340922005,0.0630562842556479
02b,Middle QC,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,2.8710170013919942,0.11231465489026067,0.039120163633933766,2.770678384041749,0.10763057621183679,0.03884629007529551
02b,Middle QC,4,Cer 18:1;O2/24:1,µmol/L,Standard,QTRAP 6500+,QQQ,0.975010574248476,0.04063356665846085,0.0416750010016872,0.8934785243713635,0.0368898455209644,0.04128789278614108
02b,High QC,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.2251461798010554,0.025848477378467596,0.11480753260529641,0.31341479181981174,0.03577878758178464,0.11415794185730252
02b,High QC,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.10857782116157708,0.008104091620502797,0.07463855448381966,0.07056588743300286,0.0052351444777993935,0.074188034307225
02b,High QC,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,2.433654511764697,0.11368087293362023,0.04671200138888559,2.351556081453332,0.10893981618040077,0.046326692796997936
02b,High QC,4,Cer 18:1;O2/24:1,µmol/L,Standard,QTRAP 6500+,QQQ,1.110285762052915,0.05037948885757942,0.04537524534623221,1.0162903076162415,0.04573783977671745,0.04500469937964653
02b,Highest Level QC,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.1990331343384388,0.009676334180136822,0.04861669998967631,0.2772697960028151,0.013393729159841224,0.04830576338616139
02b,Highest Level QC,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.11381003892276274,0.004793500038788212,0.04211842895547487,0.0739458363775356,0.003096542639511317,0.04187582142829116
02b,Highest Level QC,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,2.192218688868779,0.10764802525357388,0.0491046015619555,2.120189330944623,0.10315856819779275,0.04865535671374772
02b,Highest Level QC,4,Cer 18:1;O2/24:1,µmol/L,Standard,QTRAP 6500+,QQQ,1.2262867928239893,0.039624091956896146,0.03231225532947858,1.1216037333705255,0.03597337746609108,0.03207316130982167
03,Lowest Level QC,1,Cer 18:1;O2/16:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.03588439518207923,0.005784520544243072,0.16119877497982404,0.06301019443996547,0.009357335808561785,0.14850510924033442
03,Lowest Level QC,2,Cer 18:1;O2/18:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.01505040202745956,0.0030396877810063318,0.2019672149262459,0.010223638463916902,0.002003707407752041,0.1959877019149185
03,Lowest Level QC,3,Cer 18:1;O2/24:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.4726468470052479,0.055246765226446594,0.11688804352868809,0.5447128976649369,0.06258546941516208,0.11489625026954946
03,Lowest Level QC,4,Cer 18:1;O2/24:1,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.1635130467799824,0.01887994842036179,0.1154644769463932,0.1562883480264404,0.01890791767012123,0.12098098104487254
03,Low QC,1,Cer 18:1;O2/16:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.10226784115751875,0.008462494182390689,0.08274834089199433,0.17039544640175797,0.013689362711562831,0.080338782524071
03,Low QC,2,Cer 18:1;O2/18:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.04034063845183217,0.003992962985286866,0.09898115494762369,0.02689450656555445,0.002632089243669045,0.09786716990897068
03,Low QC,3,Cer 18:1;O2/24:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,1.3462809543425855,0.1067432682597456,0.07928751269594418,1.5343961937039536,0.12092251054993464,0.07880787963767943
03,Low QC,4,Cer 18:1;O2/24:1,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.48185871470925823,0.04021963422105617,0.08346769082577185,0.475105621560663,0.04027921663991218,0.08477949915136755
03,Middle QC,1,Cer 18:1;O2/16:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.20858828979652302,0.016516287052098417,0.07918127651465949,0.34238483318373425,0.02671758931012826,0.07803379916595422
03,Middle QC,2,Cer 18:1;O2/18:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.0818291014157231,0.004762964464653444,0.05820624181678062,0.054242953697671695,0.0031396603428547856,0.05788144134543233
03,Middle QC,3,Cer 18:1;O2/24:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,2.771230039181523,0.18845559052081867,0.06800431139108128,3.14862839357689,0.2134890893306267,0.06780383793976394
03,Middle QC,4,Cer 18:1;O2/24:1,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.9510640245318666,0.03768286243860654,0.03962179355606982,0.9450060244103651,0.03773868681734581,0.03993486373898283
03,High QC,1,Cer 18:1;O2/16:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.3103269382767434,0.0423387157099064,0.13643261505112897,0.5069624660674324,0.06848926848312649,0.13509731600922217
03,High QC,2,Cer 18:1;O2/18:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.17595427071805603,0.017807691127674677,0.10120635921482804,0.11628856909457966,0.011738509083215512,0.10094293166225447
03,High QC,3,Cer 18:1;O2/24:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,3.9959595880130365,0.538335525919609,0.13471996251776225,4.53604489490623,0.6098453267705267,0.13444428811878711
03,High QC,4,Cer 18:1;O2/24:1,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,1.952929977670275,0.19834614718417623,0.1015633686061755,1.9483561679948973,0.19863998235818733,0.10195260272284444
03,Highest Level QC,1,Cer 18:1;O2/16:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.38659378021709073,0.03025057677599474,0.07824900017534582,0.6303356040199953,0.04893487768443971,0.07763305352316321
03,Highest Level QC,2,Cer 18:1;O2/18:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,0.2734592556891103,0.012017647534367647,0.04394675727498594,0.180562098073458,0.007921816687499897,0.04387308727591916
03,Highest Level QC,3,Cer 18:1;O2/24:0,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,4.87405856985179,0.3837928441689236,0.07874194342736303,5.530786157061553,0.43477396752622827,0.07860979527677472
03,Highest Level QC,4,Cer 18:1;O2/24:1,µmol/L,Preferred,Bruker EVOQ Elite,QQQ,2.8861865630452055,0.16064051691210937,0.05565839678174446,2.882995304102744,0.16087849397851675,0.055802551516325107
04,Lowest Level QC,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.08307913177414904,0.00515073089956657,0.06199789031942285,0.10275409562006439,0.006341568081352415,0.0617159641480424
04,Lowest Level QC,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.03000109694027297,0.0016257109217218465,0.054188382676752044,0.017081037667870454,9.225674965344245e-4,0.05401120906546446
04,Lowest Level QC,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.905764528514692,0.05635579175495306,0.06221903152618207,1.0110316674221798,0.06308293586615034,0.062394619178440226
04,Lowest Level QC,4,Cer 18:1;O2/24:1,µmol/L,Standard,QTRAP 6500+,QQQ,0.30740005832419115,0.02253253669494391,0.07330036571164401,0.31330143926571774,0.02351819489925711,0.07506570973429463
04,Low QC,1,Cer 18:1;O2/16:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.12483926400885292,0.002899156618265957,0.02322311526973088,0.15416907473981206,0.0035694349853889894,0.0231527301530028
04,Low QC,2,Cer 18:1;O2/18:0,µmol/L,Standard,QTRAP 6500+,QQQ,0.046212061585698995,0.0012401255624311873,0.026835538599190356,0.026280526254376744,7.037533673629566e-4,0.026778511227329545
04,Low QC,3,Cer 18:1;O2/24:0,µmol/L,Standard,QTRAP 6500+,QQQ,1.3744864707440487,0.02762818807394618,0.020100734828615848,1.5357045590618077,0.030926141965053746,0.02013808045471138
